Concentration,50000,48000,45000,40000,35000,32000,30000,200000,183000,157500,115000,72500,47000,311000,282900,240750,170500,100250,58100,650000,588000,495000,340000,185000,92000,2000000,1803000,1507500,1015000,522500,227000
10,,462,478,511,459,487,483,,538,497,432,460,512,734,533,581,574,546,494,,314,389,420,419,469,,858,785,689,592,502
10,,436,463,480,479,534,481,,565,494,419,428,464,721,530,563,583,530,490,,315,359,413,385,516,,853,818,685,623,542
10,,468,473,444,491,466,462,,506,528,410,475,490,762,523,591,609,513,502,,310,361,414,421,507,,838,812,688,604,503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,714,720,720,785,702,,,846,866,793,766,756,,1007,962,947,804,810,,1223,1324,1089,1024,883,,1597,1415,1157,923,830
15,,716,708,757,781,698,,,786,841,813,778,758,,964,956,858,812,773,,1238,1159,1044,913,807,,1604,1377,1195,929,841
15,,711,708,720,751,712,,,876,912,860,758,753,,1018,950,883,811,783,,1190,1245,1048,955,821,,1651,1401,1180,986,828
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,1099,1031,958,1001,981,,,1345,1293,989,1044,1115,,1473,1327,1246,1194,1092,,1611,1605,1412,1368,1093,,2568,2294,1814,1312,1096
20,,1230,1022,954,1028,985,,,1276,1271,996,1250,1069,,1392,1406,1265,1117,1113,,1667,1631,1400,1350,1104,,2608,2195,1746,1450,1109
20,,1021,1015,1009,980,972,,,1339,1192,1015,1105,1087,,1454,1322,1227,1208,1110,,1656,1668,1334,1261,1084,,2701,2527,1727,1313,1053
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,1312,1292,1550,1276,1278,,,1744,1616,1355,1385,1306,,1867,1710,1658,1538,1374,,2788,2469,2068,1739,1523,,3669,3311,2495,1667,1582
25,,1284,1238,1548,1265,1267,,,1674,1588,1356,1324,1327,,1928,1765,1597,1447,1396,,2750,2491,2086,1665,1346,,3700,3191,2474,1874,1525
25,,1371,1383,1673,1366,1377,,,1715,1569,1373,1359,1300,,1831,1665,1641,1427,1368,,2721,2421,2092,1850,1553,,3701,3590,3153,1923,1491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,1696,1743,1630,1654,1523,,,2011,2165,1773,1988,1501,,2462,2282,2047,1784,1785,,3086,2810,2665,2076,1832,,5120,4418,3232,2125,1809
30,,1514,1807,1653,1543,1580,,,2053,2065,1692,1697,1709,,2425,2310,2017,1817,1770,,3023,2791,2557,2216,1730,,5227,5331,3137,2205,1834
30,,1583,1686,1664,1775,1530,,,2076,2038,1854,1672,1629,,2424,2473,2035,1782,1784,,3065,2791,2680,2047,1718,,5242,3945,3511,2278,1838